"MasterKey","File","Event","TYPE","R.ID","R.range","Dur.r","S.ID","S.range","Dur.s","S.DetScr","S.DetDec","ISec.range","Dur.ISec","Beg.r-Beg.s","End.r-End.s"
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000071205 | MAX: 000000071205 | KeySeparator: 000000000000","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","389","71205:71205","1","0.231000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000112965 | MAX: 000000112995 | KeySeparator: 000000000017","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","658","112965:112995","31","0.206000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000168095 | MAX: 000000168125 | KeySeparator: 000000000018","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","954","168095:168125","31","0.241500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000051185 | MAX: 000000051335 | KeySeparator: 000000000019","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","253","51185:51335","151","0.397133","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000169305 | MAX: 000000169305 | KeySeparator: 000000000020","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","962","169305:169305","1","0.500000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000143675 | MAX: 000000143685 | KeySeparator: 000000000021","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","830","143675:143685","11","0.125500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000152455 | MAX: 000000152465 | KeySeparator: 000000000022","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","878","152455:152465","11","0.248500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000066765 | MAX: 000000066765 | KeySeparator: 000000000023","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","358","66765:66765","1","0.338000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000149925 | MAX: 000000149965 | KeySeparator: 000000000024","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","857","149925:149965","41","0.251400","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000072615 | MAX: 000000072755 | KeySeparator: 000000000025","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","399","72615:72755","141","0.276467","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000125175 | MAX: 000000125225 | KeySeparator: 000000000026","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","715","125175:125225","51","0.263500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000037895 | MAX: 000000038015 | KeySeparator: 000000000027","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","158","37895:38015","121","0.444308","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000089875 | MAX: 000000089875 | KeySeparator: 000000000028","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","500","89875:89875","1","0.113000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000178565 | MAX: 000000178565 | KeySeparator: 000000000029","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","1029","178565:178565","1","0.155000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000108535 | MAX: 000000108555 | KeySeparator: 000000000030","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","612","108535:108555","21","0.431000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000103155 | MAX: 000000103285 | KeySeparator: 000000000031","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","575","103155:103285","131","0.314643","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000142605 | MAX: 000000142745 | KeySeparator: 000000000032","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","826","142605:142745","141","0.380500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000079335 | MAX: 000000079365 | KeySeparator: 000000000033","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","439","79335:79365","31","0.149750","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000042525 | MAX: 000000042545 | KeySeparator: 000000000034","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","189","42525:42545","21","0.183000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000115055 | MAX: 000000115305 | KeySeparator: 000000000035","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","666","115055:115305","251","0.324083","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000058545 | MAX: 000000058565 | KeySeparator: 000000000036","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","306","58545:58565","21","0.367667","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000084885 | MAX: 000000084935 | KeySeparator: 000000000037","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","471","84885:84935","51","0.230333","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000015105 | MAX: 000000015135 | KeySeparator: 000000000038","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","77","15105:15135","31","0.167667","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000001165 | MAX: 000000001185 | KeySeparator: 000000000039","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","9","1165:1185","21","0.154500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000176475 | MAX: 000000176605 | KeySeparator: 000000000040","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","1012","176475:176605","131","0.245167","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000107145 | MAX: 000000107145 | KeySeparator: 000000000041","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","599","107145:107145","1","0.344000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000044365 | MAX: 000000044385 | KeySeparator: 000000000042","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","200","44365:44385","21","0.292000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000160605 | MAX: 000000160615 | KeySeparator: 000000000043","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","911","160605:160615","11","0.122500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000055105 | MAX: 000000055105 | KeySeparator: 000000000044","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","280","55105:55105","1","0.256000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000167545 | MAX: 000000167645 | KeySeparator: 000000000045","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","951","167545:167645","101","0.256364","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000074445 | MAX: 000000074485 | KeySeparator: 000000000046","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","412","74445:74485","41","0.121500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000111135 | MAX: 000000111305 | KeySeparator: 000000000047","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","639","111135:111305","171","0.467294","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000012225 | MAX: 000000012265 | KeySeparator: 000000000048","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","62","12225:12265","41","0.125800","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000004385 | MAX: 000000004485 | KeySeparator: 000000000049","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","23","4385:4485","101","0.266889","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000032595 | MAX: 000000032615 | KeySeparator: 000000000050","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","131","32595:32615","21","0.183000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000037675 | MAX: 000000037675 | KeySeparator: 000000000051","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","155","37675:37675","1","0.355000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000044815 | MAX: 000000044875 | KeySeparator: 000000000052","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","204","44815:44875","61","0.206429","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000172735 | MAX: 000000172745 | KeySeparator: 000000000053","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","983","172735:172745","11","0.187500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000146365 | MAX: 000000146375 | KeySeparator: 000000000054","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","846","146365:146375","11","0.250500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000112275 | MAX: 000000112395 | KeySeparator: 000000000055","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","652","112275:112395","121","0.270000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000174015 | MAX: 000000174115 | KeySeparator: 000000000056","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","995","174015:174115","101","0.330800","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000098965 | MAX: 000000098975 | KeySeparator: 000000000057","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","559","98965:98975","11","0.327000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000107285 | MAX: 000000107285 | KeySeparator: 000000000058","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","602","107285:107285","1","0.164000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000101345 | MAX: 000000101445 | KeySeparator: 000000000059","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","568","101345:101445","101","0.229000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000065935 | MAX: 000000066025 | KeySeparator: 000000000060","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","352","65935:66025","91","0.208000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000179195 | MAX: 000000179205 | KeySeparator: 000000000061","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","1034","179195:179205","11","0.177000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000012905 | MAX: 000000013075 | KeySeparator: 000000000062","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","69","12905:13075","171","0.185000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000140975 | MAX: 000000140975 | KeySeparator: 000000000063","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","813","140975:140975","1","0.186000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000113745 | MAX: 000000113905 | KeySeparator: 000000000064","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","659","113745:113905","161","0.276438","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000037865 | MAX: 000000037865 | KeySeparator: 000000000065","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","157","37865:37865","1","0.148000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000052225 | MAX: 000000052235 | KeySeparator: 000000000066","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","259","52225:52235","11","0.228000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000005545 | MAX: 000000005605 | KeySeparator: 000000000067","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","31","5545:5605","61","0.147143","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000035525 | MAX: 000000035535 | KeySeparator: 000000000068","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","147","35525:35535","11","0.161500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000052725 | MAX: 000000052725 | KeySeparator: 000000000069","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","265","52725:52725","1","0.101000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000058135 | MAX: 000000058215 | KeySeparator: 000000000070","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","303","58135:58215","81","0.169286","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000071495 | MAX: 000000071615 | KeySeparator: 000000000071","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","391","71495:71615","121","0.297100","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000129985 | MAX: 000000130145 | KeySeparator: 000000000072","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","728","129985:130145","161","0.256000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000041005 | MAX: 000000041055 | KeySeparator: 000000000073","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","181","41005:41055","51","0.178500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000163835 | MAX: 000000163835 | KeySeparator: 000000000074","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","929","163835:163835","1","0.110000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000047055 | MAX: 000000047065 | KeySeparator: 000000000075","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","222","47055:47065","11","0.141000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000036475 | MAX: 000000036535 | KeySeparator: 000000000076","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","149","36475:36535","61","0.530143","YES","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000171375 | MAX: 000000171465 | KeySeparator: 000000000077","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","975","171375:171465","91","0.226778","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000144575 | MAX: 000000144715 | KeySeparator: 000000000078","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","837","144575:144715","141","0.323214","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000150145 | MAX: 000000150205 | KeySeparator: 000000000079","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","862","150145:150205","61","0.331714","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000150075 | MAX: 000000150075 | KeySeparator: 000000000080","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","860","150075:150075","1","0.164000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000082755 | MAX: 000000082755 | KeySeparator: 000000000081","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","463","82755:82755","1","0.142000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000023465 | MAX: 000000023625 | KeySeparator: 000000000082","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","101","23465:23625","161","0.372500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000173705 | MAX: 000000173705 | KeySeparator: 000000000083","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","989","173705:173705","1","0.116000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000000155 | MAX: 000000000155 | KeySeparator: 000000000084","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","2","155:155","1","0.183000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000068635 | MAX: 000000068635 | KeySeparator: 000000000085","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","375","68635:68635","1","0.200000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000109625 | MAX: 000000109625 | KeySeparator: 000000000086","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","618","109625:109625","1","0.157000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000176005 | MAX: 000000176175 | KeySeparator: 000000000087","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","1009","176005:176175","171","0.374000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000004765 | MAX: 000000004765 | KeySeparator: 000000000088","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","27","4765:4765","1","0.177000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000130675 | MAX: 000000130695 | KeySeparator: 000000000089","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","734","130675:130695","21","0.305333","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000014505 | MAX: 000000014515 | KeySeparator: 000000000090","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","74","14505:14515","11","0.135500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000061895 | MAX: 000000061905 | KeySeparator: 000000000091","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","329","61895:61905","11","0.130000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000070045 | MAX: 000000070115 | KeySeparator: 000000000092","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","382","70045:70115","71","0.218250","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000067385 | MAX: 000000067385 | KeySeparator: 000000000093","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","364","67385:67385","1","0.102000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000125085 | MAX: 000000125125 | KeySeparator: 000000000094","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","714","125085:125125","41","0.242750","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000112465 | MAX: 000000112525 | KeySeparator: 000000000095","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","654","112465:112525","61","0.150857","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000139545 | MAX: 000000139565 | KeySeparator: 000000000096","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","803","139545:139565","21","0.143500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000076195 | MAX: 000000076265 | KeySeparator: 000000000097","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","418","76195:76265","71","0.281286","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000044255 | MAX: 000000044255 | KeySeparator: 000000000098","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","198","44255:44255","1","0.155000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000127845 | MAX: 000000127995 | KeySeparator: 000000000099","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","720","127845:127995","151","0.346067","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000105425 | MAX: 000000105445 | KeySeparator: 000000000100","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","584","105425:105445","21","0.325333","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000111365 | MAX: 000000111365 | KeySeparator: 000000000101","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","641","111365:111365","1","0.282000","NO","","","",""
